"Function","CPU Time: Total","CPU Time: Self","Instructions Retired: Total","Instructions Retired: Self","Microarchitecture Usage: Total","Microarchitecture Usage: Self","Module","Function (Full)","Source File","Start Address"
"xavs2_blockcopy_pp_64x64_avx","0.336","0.336","860800000","860800000","0.0895314","0.0895314","xavs2","xavs2_blockcopy_pp_64x64_avx","[Unknown]","0x11f260"
"xavs2_blockcopy_pp_8x8_sse2","0.329778","0.329778","1886400000","1886400000","0.442027","0.442027","xavs2","xavs2_blockcopy_pp_8x8_sse2","[Unknown]","0x11dad0"
"cu_recon_chroma","0.492444","0.326222","3083200000","2144000000","0.358542","0.349866","xavs2","cu_recon_chroma","rdo.c","0x24ddc"
"pmvr_adapt_mv","0.325333","0.325333","1734400000","1734400000","0.283092","0.283092","xavs2","pmvr_adapt_mv","me.c","0x158d1"
"aec_get_shift","0.316444","0.316444","2755200000","2755200000","0.575128","0.575128","xavs2","aec_get_shift","aec_fastrdo.c","0x78394"
"xavs2_pixel_satd_16x16_avx2","0.310222","0.310222","2596800000","2596800000","0.636777","0.636777","xavs2","xavs2_pixel_satd_16x16_avx2","[Unknown]","0x1a85a0"
"biari_encode_symbol_final_fastrdo","0.303111","0.303111","1417600000","1417600000","0.329428","0.329428","xavs2","biari_encode_symbol_final_fastrdo","aec_fastrdo.c","0x782a0"
"cu_check_intra","0.530667","0.291556","2704000000","1371200000","0.346664","0.326595","xavs2","cu_check_intra","rdo.c","0x2520b"
"xavs2_mc_luma","0.284444","0.284444","2299200000","2299200000","0.67287","0.67287","xavs2","xavs2_mc_luma","mc.c","0x48e4e"
"xavs2_pixel_sad_x3_64x64_avx2","0.284444","0.284444","2361600000","2361600000","0.521733","0.521733","xavs2","xavs2_pixel_sad_x3_64x64_avx2","[Unknown]","0x1953b0"
"rdo_get_pred_inter","0.544","0.274667","5345600000","2422400000","0.378695","0.334313","xavs2","rdo_get_pred_inter","rdo.c","0x28b5f"
"xavs2_quant_c_avx2","1.64267","0.264","12604800000","1772800000","0.505329","0.372553","xavs2","xavs2_quant_c_avx2","intrinsic_quant_avx2.c","0x10cc58"
"cu_save_mvs_refs","0.251556","0.251556","1244800000","1243200000","0.259664","0.260112","xavs2","cu_save_mvs_refs","rdo.c","0x247dc"
"xavs2_pixel_ssd_8x8_mmx","0.245333","0.245333","2460800000","2460800000","0.554277","0.554277","xavs2","xavs2_pixel_ssd_8x8_mmx","[Unknown]","0x1ad610"
"update_candidate_list","0.243556","0.243556","1036800000","1036800000","0.356405","0.356405","xavs2","update_candidate_list","md_intra.c","0x21e99"
"xavs2_pixel_avg_w8_unaligned_sse2","0.238222","0.238222","1587200000","1587200000","0.42641","0.42641","xavs2","xavs2_pixel_avg_w8_unaligned_sse2","[Unknown]","0x133a60"
"xavs2_pixel_sub_ps_32x32_avx2","0.232889","0.232889","1382400000","1382400000","0.401145","0.401145","xavs2","xavs2_pixel_sub_ps_32x32_avx2","[Unknown]","0x1573c0"
"biari_encode_symbol_eq_prob_aec","0.363556","0.232","1177600000","787200000","0.149594","0.146587","xavs2","biari_encode_symbol_eq_prob_aec","aec.c","0x637f3"
"xavs2_pixel_sub_ps_16x16_avx2","0.229333","0.229333","1003200000","1003200000","0.239352","0.239352","xavs2","xavs2_pixel_sub_ps_16x16_avx2","[Unknown]","0x156a80"
"biari_encode_tu_fastrdo","3.01156","0.222222","29195200000","1180800000","0.565925","0.527175","xavs2","biari_encode_tu_fastrdo","aec_fastrdo.c","0x782ff"
"xavs2_pixel_sad_x3_32x32_avx2","0.215111","0.215111","1444800000","1444800000","0.421953","0.421953","xavs2","xavs2_pixel_sad_x3_32x32_avx2","[Unknown]","0x191990"
"xavs2_idct_c_32x32_avx2","3.09333","0.215111","23689600000","1251200000","0.425692","0.385115","xavs2","xavs2_idct_c_32x32_avx2","intrinsic_idct_avx2.c","0x108eb5"
"xavs2_pixel_ssd_32x32_avx2","0.214222","0.214222","2004800000","2004800000","0.582823","0.582823","xavs2","xavs2_pixel_ssd_32x32_avx2","[Unknown]","0x1ae440"
"wavelet_64x64_avx2","0.676444","0.211556","3881600000","924800000","0.31342","0.173739","xavs2","wavelet_64x64_avx2","intrinsic_dct_avx.c","0xea90d"
"cu_check_skip_direct_rough1","0.898667","0.208889","6548800000","966400000","0.391029","0.368072","xavs2","cu_check_skip_direct_rough1","rdo.c","0x2ca88"
"update_skip_mv_list","0.404444","0.201778","2678400000","1313600000","0.324115","0.332215","xavs2","update_skip_mv_list","rdo.c","0x24a33"
"biari_encode_symbol_fastrdo","0.221333","0.200889","707200000","547200000","0.0844482","0.0737148","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x77254"
"xavs2_pixel_sub_ps_64x64_avx2","0.197333","0.197333","1232000000","1232000000","0.326699","0.326699","xavs2","xavs2_pixel_sub_ps_64x64_avx2","[Unknown]","0x157be0"
"xavs2_mc_chroma","0.194667","0.194667","1616000000","1616000000","0.524018","0.524018","xavs2","xavs2_mc_chroma","mc.c","0x49522"
"xavs2_sign3","0.193778","0.193778","2680000000","2680000000","0.782172","0.782172","xavs2","xavs2_sign3","avs2_defs.h","0x1e2fa"
"xavs2_pixel_sub_ps_4x4_sse4","0.192889","0.192889","486400000","486400000","0.162996","0.162996","xavs2","xavs2_pixel_sub_ps_4x4_sse4","[Unknown]","0x156340"
"xavs2_pixel_sad_x3_16x32_avx","0.192","0.192","1148800000","1148800000","0.537339","0.537339","xavs2","xavs2_pixel_sad_x3_16x32_avx","[Unknown]","0x1831a0"
"compress_cu_inter","1.23378","0.190222","8086400000","947200000","0.331647","0.206446","xavs2","compress_cu_inter","rdo.c","0x2c999"
"xavs2_intra_pred_bilinear_avx","0.337778","0.183111","3139200000","1777600000","0.641348","0.308973","xavs2","xavs2_intra_pred_bilinear_avx","intrinsic_intra-pred_avx2.c","0x1134e5"
"get_bskip_mv_spatial","0.177778","0.177778","624000000","624000000","0.157831","0.157831","xavs2","get_bskip_mv_spatial","md_inter.c","0x84b91"
"derive_median_mv","0.173333","0.173333","1704000000","1704000000","0.533186","0.533186","xavs2","derive_median_mv","md_inter.c","0x83382"
"cu_rdo_motion_estimation","0.229333","0.173333","1024000000","827200000","0.336364","0.467926","xavs2","cu_rdo_motion_estimation","rdo.c","0x2a4f7"
"xavs2_pixel_sad_x3_16x16_avx","0.171556","0.171556","1166400000","1166400000","0.360911","0.360911","xavs2","xavs2_pixel_sad_x3_16x16_avx","[Unknown]","0x183690"
"xavs2_sign3","0.164444","0.164444","2313600000","2313600000","0.707959","0.707959","xavs2","xavs2_sign3","avs2_defs.h","0x1e153"
"rdo_get_left_bits","0.158222","0.158222","651200000","651200000","0.279707","0.279707","xavs2","rdo_get_left_bits","rdo.c","0x2932d"
"xavs2_compress_ctu_inter","1.72622","0.154667","10174400000","545600000","0.277117","0.0708786","xavs2","xavs2_compress_ctu_inter","rdo.c","0x2c661"
"memcpy","0.152","0.152","486400000","486400000","0.142046","0.142046","xavs2","memcpy","string_fortified.h","0x34600"
"xavs2_pixel_sad_x3_32x64_avx2","0.150222","0.150222","1232000000","1232000000","0.512092","0.512092","xavs2","xavs2_pixel_sad_x3_32x64_avx2","[Unknown]","0x192040"
"__memset_avx2_unaligned_erms","0.150222","0.150222","369600000","369600000","0.232103","0.232103","libc-2.27.so","__memset_avx2_unaligned_erms","memset-vec-unaligned-erms.S","0x18ef50"
